mse,mae,run,seed,horizon,val_mse,val_mae,best_val_loss,final_train_loss,final_val_loss,epochs_trained,train_windows,val_windows,test_windows,num_parameters,device
144902.390625,291.4871520996094,1,2026,90,79044.65625,225.14300537109375,0.17081218957901,0.33921846250693005,0.18566535413265228,28,705,124,344,283233,cuda
139375.46875,285.8739318847656,2,2027,90,80447.3125,227.3480224609375,0.17356346547603607,0.3330752030014992,0.1837780773639679,26,705,124,344,283233,cuda
156086.9375,302.7558288574219,3,2028,90,80715.2890625,228.40676879882812,0.17412078380584717,0.3277613619963328,0.1864810287952423,31,705,124,344,283233,cuda
139914.640625,284.3643493652344,4,2029,90,79109.1171875,225.81211853027344,0.17118525505065918,0.32582417627175647,0.1829337328672409,29,705,124,344,283233,cuda
140485.9375,284.97064208984375,5,2030,90,85366.1171875,234.56744384765625,0.1815415620803833,0.3183046579360962,0.19235175848007202,41,705,124,344,283233,cuda
142479.65625,292.1676330566406,1,2026,365,207069.875,343.9856262207031,0.3396877944469452,0.34837334230542183,0.34679746627807617,34,471,83,69,309908,cuda
137234.359375,287.09588623046875,2,2027,365,202166.59375,340.3713684082031,0.3334735631942749,0.34608687087893486,0.33814898133277893,43,471,83,69,309908,cuda
139037.015625,288.4117736816406,3,2028,365,206676.34375,340.8668212890625,0.33678895235061646,0.3501499257981777,0.34217092394828796,33,471,83,69,309908,cuda
142894.125,294.07330322265625,4,2029,365,203466.453125,342.8169250488281,0.3367043733596802,0.3435792475938797,0.3516969382762909,41,471,83,69,309908,cuda
137489.484375,286.1975402832031,5,2030,365,204702.109375,340.3072814941406,0.3345930278301239,0.3478763774037361,0.3409467041492462,36,471,83,69,309908,cuda
