mse,mae,run,seed,horizon,best_val_loss,final_train_loss,final_val_loss,epochs_trained,train_windows,val_windows,test_windows,num_parameters,device
142570.890625,289.81103515625,1,2026,90,0.18388313055038452,0.33701447397470474,0.20632044970989227,31,705,124,344,151771,cuda
146343.921875,291.4544372558594,2,2027,90,0.17397190630435944,0.33085403343041736,0.19404055178165436,38,705,124,344,151771,cuda
137981.359375,284.0234375,3,2028,90,0.1786193549633026,0.3134068896373113,0.20047502219676971,39,705,124,344,151771,cuda
151776.015625,298.58953857421875,4,2029,90,0.17734339833259583,0.3079857515792052,0.21491186320781708,44,705,124,344,151771,cuda
146965.859375,292.7781066894531,5,2030,90,0.1874721497297287,0.32402433454990387,0.20646342635154724,39,705,124,344,151771,cuda
137849.875,285.7636413574219,1,2026,365,0.3353404402732849,0.3299047686159611,0.3473559021949768,49,471,83,69,178446,cuda
135505.796875,282.46905517578125,2,2027,365,0.3410731256008148,0.3398698680102825,0.34625443816185,41,471,83,69,178446,cuda
136962.859375,285.08502197265625,3,2028,365,0.3408237099647522,0.341179758310318,0.3465614914894104,41,471,83,69,178446,cuda
139863.6875,287.4472351074219,4,2029,365,0.33743301033973694,0.34245239198207855,0.34184327721595764,40,471,83,69,178446,cuda
133693.96875,280.9014587402344,5,2030,365,0.33779218792915344,0.3357115015387535,0.34029749035835266,45,471,83,69,178446,cuda
